id,date,text,views,forwards,replies,reactions,hour,weekday,love_reactions,total_reactions
20080,2025-07-31 13:02:03+00:00,"⚡️Кто едет в отпуск в августе? Тогда вам точно нужно смотреть стрим с бьюти-блогером Полиной Зиновьевой.

Вместе мы соберем компактную косметичку со всем необходимым для моря, гор и экскурсий по новым городам, скорее подключайся!",82886,15,0,"{""ReactionEmoji(emoticon='❤')"": 452, 'ReactionCustomEmoji(document_id=5408936677047570928)': 164, ""ReactionEmoji(emoticon='🔥')"": 111, ""ReactionEmoji(emoticon='⚡')"": 64, ""ReactionEmoji(emoticon='👍')"": 22, ""ReactionEmoji(emoticon='😁')"": 21, ""ReactionEmoji(emoticon='😍')"": 11, ""ReactionEmoji(emoticon='😇')"": 10}",13,3,452,855
18598,2025-05-07 12:27:52+00:00,"Настроение, когда работать ещё несколько часов, а ты уже собрал сумку для поездки на дачу",124992,533,29,"{'ReactionCustomEmoji(document_id=5292271900565718304)': 1178, ""ReactionEmoji(emoticon='❤')"": 604, ""ReactionEmoji(emoticon='😁')"": 466, ""ReactionEmoji(emoticon='⚡')"": 91, ""ReactionEmoji(emoticon='🔥')"": 45, ""ReactionEmoji(emoticon='👍')"": 38, ""ReactionEmoji(emoticon='😇')"": 1}",12,2,604,2423
18385,2025-04-27 16:30:59+00:00,"Одна встает в 7 утра, делает многоступенчатую рутину, готовит завтрак 
Другая берет только зубную щетку, остальное берет у первой спит до обеда 

✨Лучшие подруги✨

Собрали продукты для каждой в комментариях. Пишите в комментарии, к какому типу относитесь вы!

Реклама",126744,286,245,"{""ReactionEmoji(emoticon='❤')"": 1116, 'ReactionCustomEmoji(document_id=5343638107403087029)': 535, ""ReactionEmoji(emoticon='😁')"": 212, ""ReactionEmoji(emoticon='👍')"": 124, ""ReactionEmoji(emoticon='🔥')"": 34, ""ReactionEmoji(emoticon='😍')"": 21, ""ReactionEmoji(emoticon='⚡')"": 19, ""ReactionEmoji(emoticon='😇')"": 17}",16,6,1116,2078
18341,2025-04-25 14:15:16+00:00,"Как только увидели, что на спрей с центеллой d'Alba скидка −50%, подумали, нужно рассказать вам об этом💚

И сами закинули бестселлер в корзину...

Реклама",109545,96,47,"{""ReactionEmoji(emoticon='❤')"": 630, 'ReactionCustomEmoji(document_id=5343638107403087029)': 303, ""ReactionEmoji(emoticon='👍')"": 177, ""ReactionEmoji(emoticon='⚡')"": 58, ""ReactionEmoji(emoticon='🔥')"": 22, ""ReactionEmoji(emoticon='😁')"": 20}",14,4,630,1210
19544,2025-07-03 13:17:31+00:00,"На каждой упаковке зубной пасты Oss to Oss есть шкалы, по которым легче подобрать ту самую💛

У персиково-мятной они вот такие:

Соленость     🟢🔘🔘🔘🔘
Свежесть       🟢🟢🔘🔘🔘
Охлаждение 🟢🟢🟢🔘🔘

Нам такое подходит, взяли сразу две!",111222,121,50,"{""ReactionEmoji(emoticon='❤')"": 731, 'ReactionCustomEmoji(document_id=5408936677047570928)': 318, ""ReactionEmoji(emoticon='😍')"": 147, ""ReactionEmoji(emoticon='😁')"": 69, ""ReactionEmoji(emoticon='👍')"": 29, ""ReactionEmoji(emoticon='🔥')"": 23, ""ReactionEmoji(emoticon='⚡')"": 11, ""ReactionEmoji(emoticon='😇')"": 8}",13,3,731,1336
18857,2025-05-24 13:59:25+00:00,"Мы, если бы за знание ассортимента Золотого Яблока выдавали диплом",98949,172,28,"{""ReactionEmoji(emoticon='❤')"": 1488, ""ReactionEmoji(emoticon='😁')"": 500, ""ReactionEmoji(emoticon='🔥')"": 294, 'ReactionCustomEmoji(document_id=5246778936951602392)': 195, ""ReactionEmoji(emoticon='👍')"": 49, ""ReactionEmoji(emoticon='😍')"": 24, ""ReactionEmoji(emoticon='😇')"": 13, ""ReactionEmoji(emoticon='⚡')"": 10}",13,5,1488,2573
18706,2025-05-17 05:25:11+00:00,"Этот крем-гель Bioderma Sebium Kerato+ прочно обосновался в косметичке админа. Первые впечатления о нем можно прочитать здесь💚

Теперь хотим поделиться эффектом спустя 3 месяца. Высыпаний стало меньше, а тон лица ровнее. Но теперь не забываем про SPF, так как в составе есть кислоты. 

Крем-гель отлично ведет себя и днем под макияжем — тон не скатывается, и вечером перед сном тоже идеально. Пользуемся каждый день и уже добавили в корзину новый!

А вы пробовали? 

Реклама",154337,144,58,"{""ReactionEmoji(emoticon='❤')"": 789, 'ReactionCustomEmoji(document_id=5246778936951602392)': 263, ""ReactionEmoji(emoticon='👍')"": 223, ""ReactionEmoji(emoticon='🔥')"": 77, ""ReactionEmoji(emoticon='😍')"": 18, ""ReactionEmoji(emoticon='⚡')"": 10, ""ReactionEmoji(emoticon='😁')"": 8, ""ReactionEmoji(emoticon='😇')"": 8}",5,5,789,1396
20558,2025-08-27 11:33:57+00:00,"ШКОЛА-ШКОЛА: начинаем обратный отсчет до 1 сентября📚

Три — заходим в новый раздел «Школа-школа» в приложении Золотого Яблока. Два — берем всё для своего бьюти-образа, от заколок и блокнота до парфюма. Один — готовимся блистать на линейке!

В разделе не только находки для школьников и студентов, но и для офисных сирен. А вот что уже лежит в нашей корзине, вдохновляйтесь:

— парфюм Banana Republic 
— бронзер в стике Essence 
— помада Stellary
— кремовые румяна Love Generation 
— тушь Vivienne Sabó Cabaret 
— бальзам-стик для губ Influence Beauty  

Реклама",70166,56,24,"{""ReactionEmoji(emoticon='❤')"": 537, 'ReactionCustomEmoji(document_id=5294214784856649592)': 295, ""ReactionEmoji(emoticon='🔥')"": 138, ""ReactionEmoji(emoticon='👍')"": 78, ""ReactionEmoji(emoticon='😍')"": 21, ""ReactionEmoji(emoticon='⚡')"": 12, ""ReactionEmoji(emoticon='😁')"": 9, ""ReactionEmoji(emoticon='😇')"": 9}",11,2,537,1099
19113,2025-06-04 14:43:34+00:00,"Посмотрите, какую красоту мы засняли🩷

Да, мы про тон, который сделали с помощью BB-крема NUNKORO! Получается тонкое, невесомое покрытие, которое создает максимально естественный эффект. При этом средство работает и как полноценный уход. 

В его составе запатентованный комплекс сахаридов, который помогает удерживать влагу внутри и активирует защитные механизмы кожи. Комплекс зеленых фруктов увлажняет и повышает упругость.",132931,142,107,"{""ReactionEmoji(emoticon='❤')"": 794, ""ReactionEmoji(emoticon='😍')"": 190, ""ReactionEmoji(emoticon='🔥')"": 165, 'ReactionCustomEmoji(document_id=5328140791657297056)': 123, ""ReactionEmoji(emoticon='👍')"": 56, ""ReactionEmoji(emoticon='😁')"": 14, ""ReactionEmoji(emoticon='😇')"": 12, ""ReactionEmoji(emoticon='⚡')"": 2}",14,2,794,1356
18605,2025-05-08 10:25:16+00:00,"Отправимся вместе исследовать пещеру с горячими источниками?

Как настоящие спелеологи, будем восторгаться мерцающими сталагмитами и вдыхать свежий влажный воздух. Затем попадем к горному источнику с кристально-чистой водой, достанем термос с заранее заваренным пряным чаем и устроим небольшой отдых. Самое главное — не забыть сделать фото!

Именно так ощущается аромат Neydo Breathe Out 01.02. 

Реклама",124982,43,17,"{""ReactionEmoji(emoticon='❤')"": 487, 'ReactionCustomEmoji(document_id=5246778936951602392)': 202, ""ReactionEmoji(emoticon='👍')"": 147, ""ReactionEmoji(emoticon='🔥')"": 58, ""ReactionEmoji(emoticon='😍')"": 18, ""ReactionEmoji(emoticon='😁')"": 9, ""ReactionEmoji(emoticon='😇')"": 6, ""ReactionEmoji(emoticon='⚡')"": 5}",10,3,487,932
20288,2025-08-15 05:11:53+00:00,"Вернем 20% от суммы чека за офлайн-покупки💅

До 20 августа приходи в любой магазин Золотого Яблока, оплачивай корзину на кассе и получай повышенные бонусы на карту клиента: 1 бонус = 1 ₽. 

Вот как ими воспользоваться: 

➖ бонусы сгорающие и доступны до 24 августа включительно;
➖ бонусами можно оплатить до 20% будущих офлайн-покупок;
➖ бонусы можно получить многократно;
➖ бонусы начисляются только при использовании карты клиента на кассе.

Больше подробностей здесь.",102783,479,71,"{""ReactionEmoji(emoticon='❤')"": 724, 'ReactionCustomEmoji(document_id=5294214784856649592)': 463, ""ReactionEmoji(emoticon='⚡')"": 122, ""ReactionEmoji(emoticon='🔥')"": 81, ""ReactionEmoji(emoticon='😁')"": 36, ""ReactionEmoji(emoticon='👍')"": 35, ""ReactionEmoji(emoticon='😍')"": 23, ""ReactionEmoji(emoticon='😇')"": 11}",5,4,724,1495
20066,2025-07-30 16:21:06+00:00,"Парни, которые следят за собой, — это 💔💔💔, согласны? 

Хотя даже если это не так, всегда можно привлечь его на светлую сторону идеальной кожи. Например, Матвею уже показали, как лучше использовать пасту для борьбы с высыпаниями. Поделился видеоотчетом в кружке! Наносит локально, чтобы уменьшить воспаления за ночь. 

Еще в линейке есть сыворотка для ровного тона и увлажняющий крем с SPF, разработанные специально для мужской кожи. 

Скидывай пост своему парню, чтобы был повод сходить на шопинг в Золотое Яблоко!

Реклама",77088,87,12,"{""ReactionEmoji(emoticon='❤')"": 612, 'ReactionCustomEmoji(document_id=5408936677047570928)': 181, ""ReactionEmoji(emoticon='🔥')"": 154, ""ReactionEmoji(emoticon='👍')"": 61, ""ReactionEmoji(emoticon='😇')"": 18, ""ReactionEmoji(emoticon='😁')"": 13, ""ReactionEmoji(emoticon='😍')"": 12, ""ReactionEmoji(emoticon='⚡')"": 7}",16,2,612,1058
18869,2025-05-25 10:27:33+00:00,"Когда ищешь в Золотом Яблоке свечи для дома и тут же захотелось уход с такими же ароматами🤍 Было у вас такое? 

Мы лукавить не будем, сразу скажем — было! Бренд ароматов для дома Casa Leggera исполнил нашу мечту, и теперь у него появился парфюмированный уход для тела: 

▫️крем для тела Albero Bianco — пахнет пачули, цветами и бергамотом,  быстро впитывается, поэтому хорош сразу после душа;

▫️скраб для тела Albero Bianco — тот же аромат, что и у крема, состоит из морской соли, масел миндаля, жожоба и виноградной косточки;

▫️крем для рук Dolce Ambra — ванильно-цитрусовый, питательный, но не жирный. 

Реклама",98778,15,22,"{""ReactionEmoji(emoticon='❤')"": 440, 'ReactionCustomEmoji(document_id=5246778936951602392)': 178, ""ReactionEmoji(emoticon='😍')"": 82, ""ReactionEmoji(emoticon='🔥')"": 55, ""ReactionEmoji(emoticon='👍')"": 45, ""ReactionEmoji(emoticon='😁')"": 14, ""ReactionEmoji(emoticon='⚡')"": 8, ""ReactionEmoji(emoticon='😇')"": 8}",10,6,440,830
20815,2025-09-05 15:58:57+00:00,"Гоар, консультант Золотого Яблока, решила поделиться своим топом средств Davines в кружочках👇🏻",70304,3,5,"{""ReactionEmoji(emoticon='❤')"": 622, 'ReactionCustomEmoji(document_id=5294214784856649592)': 338, ""ReactionEmoji(emoticon='😍')"": 173, ""ReactionEmoji(emoticon='⚡')"": 78, ""ReactionEmoji(emoticon='🔥')"": 46, ""ReactionEmoji(emoticon='👍')"": 41, ""ReactionEmoji(emoticon='😁')"": 32, ""ReactionEmoji(emoticon='😇')"": 28}",15,4,622,1358
18981,2025-05-30 12:00:49+00:00,"еще я пообщалась с командой Золотого Яблока, конечно же, на тему бьюти. думаю, вам тоже будет интересно! делюсь своими ответами с вами.

Спорт и забота о коже занимают важное место в вашей жизни и блоге. Поделитесь любимыми бьюти-ритуалами по уходу за телом?

уход за телом для меня всегда идёт рядом со спортом — просто потому что после тренировки кожа особенно требует внимания.

если есть время, беру скраб AMAN — это не про «отшелушить», а про почувствовать кожу заново. пахнет дорого, текстура плотная, потом кожа как будто глухо звенит от чистоты. на каждый день — лосьон myTAUI imi ola: быстро впитывается, не мешает одеваться и даёт ощущение, что ты о себе позаботилась, не тратя лишнего времени.

Если бы вам нужно было выбрать только 1 продукт в косметичке, что бы это было? 

если только один — выберу блеск. FOR ME by gold apple — потому что делает лицо собранным даже без всего остального. можно нанести на бегу, без зеркала, и уже чувствуешь себя чуть лучше, чем пять минут назад.

Летом часто хочется чего-то нового. Какие ароматы посоветуете выбрать на теплый сезон? 

с ароматами у меня всегда чуть сложнее. летом особенно — всё быстро надоедает или начинает мешать.
но есть два, к которым пока не потеряла интерес. Frederic Malle En Passant — пахнет как раннее утро, когда на улице ещё свежо, а день пока не начался. сирень, вода и тишина. Etat Libre d’Orange Hermann a Mes Cotes — тёмная зелень, мокрый мох и что-то металлическое в базе. держится близко к телу, раскрывается не сразу.
оба без очевидной сладости и с хорошей стойкостью. летом это редкость.

Главное бьюти-правило, которому вы всегда следуете? И одно бьюти-правило, которое вы иногда нарушаете?

главное бьюти-правило — умываться даже тогда, когда сил нет ни на что.
если не нанести уход — ничего страшного, но кожа хотя бы чистая.

а вот правило, которое нарушаю: иногда наношу сыворотку Advanced Night Repair не только на ночь, но и утром — просто потому что люблю, как она ложится.
не уверена, что так «правильно», но пока всё работает.

В ролике для нашего YouTube-канала вы показали свою квартиру. Она очень стильно обставлена. Что посоветуете тем, кто хочет разнообразить домашнее пространство?

в интерьере мне важны две вещи: чтобы ничего не бесило и чтобы от чего-то ловить кайф. иногда это один и тот же объект.
совет один — найти такую вещь. не обязательно редкость, не обязательно дорогое. но чтобы вызывало отклик.
для меня это может быть ваза с характерной формой, которую можно даже не наполнять.
например, как ваза andplus — сама по себе выглядит как композиция.

Реклама",96105,54,26,"{""ReactionEmoji(emoticon='❤')"": 532, 'ReactionCustomEmoji(document_id=5246778936951602392)': 182, ""ReactionEmoji(emoticon='⚡')"": 109, ""ReactionEmoji(emoticon='🔥')"": 62, ""ReactionEmoji(emoticon='👍')"": 31, ""ReactionEmoji(emoticon='😁')"": 28, ""ReactionEmoji(emoticon='😍')"": 14, ""ReactionEmoji(emoticon='😇')"": 14}",12,4,532,972
18467,2025-04-30 13:42:11+00:00,"Узнали у Паулины Андреевой, какие продукты она чаще всего заказывает в Золотом Яблоке. Подробно об этом она рассказала в нашей новой статье на Дзене. А ниже оставляем ссылки на её фавориты:

— тональный крем с витамином С SPF 50 Clinique 
— BB-консилер Erborian 
— матовая помада Estee Lauder 
— мультифункциональная сыворотка SPF 20 okolo
— легкий увлажняющий крем La Mer  
— парфюмерная вода Narciso Rodriguez 
— увлажняющий бальзам Simihaze

Реклама",91269,109,15,"{""ReactionEmoji(emoticon='❤')"": 495, 'ReactionCustomEmoji(document_id=5343638107403087029)': 255, ""ReactionEmoji(emoticon='👍')"": 115, ""ReactionEmoji(emoticon='😁')"": 81, ""ReactionEmoji(emoticon='🔥')"": 18, ""ReactionEmoji(emoticon='😍')"": 5, ""ReactionEmoji(emoticon='⚡')"": 2}",13,2,495,971
19099,2025-06-03 12:47:32+00:00,"Этот уход для волос был в рейтингах корейского глянца Allure, Marie Claire и Elle, а теперь появился у нас. Встречайте, Curly Shyll🖤

В составах можно найти эфирные масла, протеины и даже растительные стволовые клетки для укрепления тонких волос и кожи головы. Всё вместе дает результат — это подтверждают тысячи отзывов на сайтах зарубежных бьюти-ритейлеров и любовь звездных стилистов.

Кроме лаконичных флаконов и бежевых туб, в линейке есть расчески. Цены средств — от 1 800 ₽ до 5 000 ₽ по карте клиента.

Сейчас тестируем целый комплекс для восстановления — блеск и мягкость после него отмечаем сразу:

🌟 сыворотка для поврежденных волос Silk Oil Serum
🌟 укрепляющий тоник Head Spa
🌟 масло-сыворотка Babassu Oil
🌟 питательный шампунь Nutrition Support
🌟 укрепляющая сыворотка для кожи головы и волос Revitalizing",124601,109,39,"{""ReactionEmoji(emoticon='❤')"": 555, 'ReactionCustomEmoji(document_id=5328140791657297056)': 204, ""ReactionEmoji(emoticon='👍')"": 170, ""ReactionEmoji(emoticon='⚡')"": 50, ""ReactionEmoji(emoticon='🔥')"": 23, ""ReactionEmoji(emoticon='😍')"": 12, ""ReactionEmoji(emoticon='😁')"": 10, ""ReactionEmoji(emoticon='😇')"": 1}",12,1,555,1025
17919,2025-03-28 10:19:30+00:00,Бинго!,96184,1,2,"{""ReactionEmoji(emoticon='❤')"": 500, ""ReactionEmoji(emoticon='🔥')"": 130, ""ReactionEmoji(emoticon='⚡')"": 95, 'ReactionCustomEmoji(document_id=5341375772034623029)': 68, ""ReactionEmoji(emoticon='👍')"": 48, ""ReactionEmoji(emoticon='😁')"": 18}",10,4,500,859
19319,2025-06-18 18:57:45+00:00,"Админ канала Золотого Яблока этой ночью: 
БОЛЬШЕ постов 
БОЛЬШЕ анонсов 
БОЛЬШЕ промокодов 
БОЛЬШЕ намеков…",110052,54,111,"{'ReactionCustomEmoji(document_id=5294214784856649592)': 1522, ""ReactionEmoji(emoticon='❤')"": 597, ""ReactionEmoji(emoticon='🔥')"": 327, ""ReactionEmoji(emoticon='😁')"": 172, ""ReactionEmoji(emoticon='😍')"": 32, ""ReactionEmoji(emoticon='👍')"": 28, ""ReactionEmoji(emoticon='😇')"": 20, ""ReactionEmoji(emoticon='⚡')"": 17}",18,2,597,2715
17932,2025-03-28 12:01:34+00:00,"⚡️У нас в гостях косметолог и блогер Мила Скрынько. В прямом эфире обсудим, какой уход выбрать для лица и тела, чтобы помочь коже адаптироваться к новому сезону, скорее подключайся!",108658,13,0,"{'ReactionCustomEmoji(document_id=5341375772034623029)': 459, ""ReactionEmoji(emoticon='❤')"": 257, ""ReactionEmoji(emoticon='⚡')"": 166, ""ReactionEmoji(emoticon='😁')"": 64, ""ReactionEmoji(emoticon='👍')"": 48, ""ReactionEmoji(emoticon='😍')"": 17, ""ReactionEmoji(emoticon='🔥')"": 14, ""ReactionEmoji(emoticon='😇')"": 3}",12,4,257,1028
18055,2025-04-07 06:42:05+00:00,"Достали для тебя с неба промокод КОСМОС⭐️

Он обладает силой исполнять желания — если добавить в корзину то, о чем мечтаешь, и ввести промокод, можно получить доп. скидку: 

−10% от 6 000 ₽
−15% от 9 000 ₽
−20% от 12 000 ₽

Промокод действует до 13 апреля, подробности и исключения ищите здесь. 

Реклама",166384,472,141,"{""ReactionEmoji(emoticon='❤')"": 829, 'ReactionCustomEmoji(document_id=5341831468064727862)': 360, ""ReactionEmoji(emoticon='⚡')"": 161, ""ReactionEmoji(emoticon='👍')"": 99, ""ReactionEmoji(emoticon='🔥')"": 35, ""ReactionEmoji(emoticon='😍')"": 23, ""ReactionEmoji(emoticon='😁')"": 21}",6,0,829,1528
18471,2025-04-30 14:19:41+00:00,"Первый получился нежным и даже романтичным с акцентом на губы. Это помада Clarins c матовым покрытием.

Дополнили образ ниткой натурального жемчуга. Считаем, она вписалась идеально!

Реклама",80430,19,21,"{""ReactionEmoji(emoticon='❤')"": 356, 'ReactionCustomEmoji(document_id=5343638107403087029)': 198, ""ReactionEmoji(emoticon='🔥')"": 94, ""ReactionEmoji(emoticon='👍')"": 74, ""ReactionEmoji(emoticon='😁')"": 17, ""ReactionEmoji(emoticon='😍')"": 1}",14,2,356,740
